Tabla;Campo;Var Type;Utilizado;Campo en Json;Mapeo api endpoint;Cobertura;Column 8;Observaciones;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_new;int unsigned;SI;totals.new.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_new;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_picking;int unsigned;SI;totals.picking.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_picking;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_picked;int unsigned;SI;totals.picked.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_picked;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_invoiced;int unsigned;SI;totals.invoiced.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_invoiced;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_shipped;int unsigned;SI;totals.inDeñivery.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_shipped;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity_delivered;int unsigned;SI;totals.delivered.count;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning quantity_delivered;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;offset;float(12,2) unsigned;SI;closingTime;https://delivery.janis.in/api/time-slot-order;Completa;wms_logistic_delivery_planning offset;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;offset_start;float(12,2) unsigned;SI;dateStart;;Restante;wms_logistic_delivery_planning offset_start;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;date_start;bigint unsigned;SI;[].schedule.from;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning date_start;Fecha inicio del schedule en formato ISO 8601;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;date_end;bigint unsigned;SI;[].schedule.to;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning date_end;Fecha fin del schedule en formato ISO 8601;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;edited;tinyint unsigned;SI;N/A;;Restante;wms_logistic_delivery_planning edited;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;is_blocked;tinyint(1);SI;locked.isLocked;https://delivery.janis.in/api/carrier-group-time-slot;Parcial;wms_logistic_delivery_planning is_blocked;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;block_origin;smallint unsigned;SI;lock.reason;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_planning block_origin;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;block_date;bigint unsigned;SI;lock.date;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_planning block_date;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;block_quota;smallint unsigned;SI;capacity.used;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_planning block_quota;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;block_offset;smallint unsigned;SI;capacity;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_planning block_offset;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;status;tinyint unsigned;SI;[].status;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning status;Estado: processing, pendingConfirmation, cancelled, etc.;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;date_created;bigint;SI;[].dateCreated;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning date_created;Fecha de creación en formato ISO 8601;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;date_modified;bigint;SI;[].dateModified;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning date_modified;Fecha de modificación en formato ISO 8601;;;;;;;;;;;;;;;;;
wms_logistic_delivery_ranges;id;bigint unsigned;SI;id;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_ranges id;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_ranges;ref_id;varchar(100);SI;referenceId;https://delivery.janis.in/api/time-slot;Completa;wms_logistic_delivery_ranges ref_id;;;;;;;;;;;;;;;;;;
