Tabla	Campo	Var Type	Utilizado	Campo en Json	Mapeo api endpoint	frecuencia
customers	phone	varchar(50)	SI	phone	https://crm.janis.in/api/customer	sin update
customers	points_card	varchar(100)	SI	pointsCard	https://crm.janis.in/api/customer	sin update
customers	user_modified	bigint unsigned	SI	userModified	https://crm.janis.in/api/customer	sin update
customers	date_modified	bigint	SI	dateModified	https://crm.janis.in/api/customer	sin update
wms_order_picking	order_id	bigint	SI	orderIds[] (primer elemento)	https://picking.janis.in/api/session	5 min
wms_order_picking	picker	bigint unsigned	SI	pickerId	https://picking.janis.in/api/session	5 min
wms_order_picking	pick_start_time	bigint	SI	startPickingTime	https://picking.janis.in/api/session	5 min
wms_order_picking	pick_end_time	bigint unsigned	SI	endPickingTime	https://picking.janis.in/api/session	5 min
wms_order_picking	total_time	smallint unsigned	SI	Derivado (endPickingTime - startPickingTime)	https://picking.janis.in/api/session	5 min
wms_order_picking	status	smallint unsigned	SI	status	https://picking.janis.in/api/session	5 min
stock	id	bigint	SI	[].id	https://wms.janis.in/api/stock	10 min
stock	item_id	bigint unsigned	SI	[].sku	https://wms.janis.in/api/stock	10 min
stock	store_id	bigint unsigned	SI	warehouseName	https://wms.janis.in/api/stock	10 min
stock	warehouse_id	bigint unsigned	SI	[].warehouse	https://wms.janis.in/api/stock	10 min
stock	stock	int unsigned	SI	[].stock	https://wms.janis.in/api/stock	10 min
stock	store_stock	int	SI	availableStock	https://wms.janis.in/api/stock	10 min
stock	min_stock	int unsigned	SI	[].securityStock	https://wms.janis.in/api/stock	10 min
stock	reserve_stock	int unsigned	SI	[].reservedStock	https://wms.janis.in/api/stock	10 min
stock	infinite_stock	tinyint(1)	SI	[].infiniteStock	https://wms.janis.in/api/stock	10 min
stock	status	tinyint	SI	[].status	https://wms.janis.in/api/stock	10 min
stock	date_modified	bigint	SI	[].dateModified	https://wms.janis.in/api/stock	10 min
stock	date_created	bigint	SI	[].dateCreated	https://wms.janis.in/api/stock	10 min
invoices	id	bigint	SI	invoices[].id	https://oms.janis.in/api/order	5 min
invoices	order_id	bigint unsigned	SI	id	https://oms.janis.in/api/order	5 min
invoices	number	varchar(80)	SI	invoices[].number	https://oms.janis.in/api/order	5 min
invoices	amount	float(12,2) unsigned	SI	invoices[].amount	https://oms.janis.in/api/order	5 min
invoices	date_invoiced	bigint	SI	invoices[].dateCreated	https://oms.janis.in/api/order	5 min
invoices	type	bigint unsigned	SI	invoices[].type	https://oms.janis.in/api/order	5 min
